"Data Source","World Development Indicators",

"Last Updated Date","2021-05-25",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"Armenia","ARM","Population living in areas where elevation is below 5 meters (% of total population)","EN.POP.EL5M.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Armenia","ARM","SF6 gas emissions (thousand metric tons of CO2 equivalent)","EN.ATM.SF6G.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","0","","","","","0","","","0","","0","","","","","","","","","","",
"Armenia","ARM","Methane emissions in energy sector (thousand metric tons of CO2 equivalent)","EN.ATM.METH.EG.KT.CE","","","","","","","","","","0","186.096861050587","198.997753081817","214.566491617729","232.764212051614","248.579237595044","257.356682982166","251.058126409106","230.41439348567","192.909141750681","156.270086885611","121.788048566559","94.5267956722621","79.8295250471718","79.0992589485806","79.5396669439046","77.2863628023592","72.9606866683923","63.3023658530572","929.205427906865","1085.36276026103","1312.42519535796","1207.1756100443","1128.11790614486","1064.14677947163","1215.42170901141","1117.27437087491","1251.97677166591","1322.2568806392","1316.43623338465","1376.18633730424","1306.29212073751","1246.14285891293","1276.42298208037","1339.84178885408","1383.51101959303","1502.67649732762","1589.5895349574","1693.87335434795","1792.58304746124","","","","","","","","","","","","",
"Armenia","ARM","CO2 emissions (kg per 2010 US$ of GDP)","EN.ATM.CO2E.KD.GD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.78500360845488","0.858525373615206","0.862454309498746","1.01668164874439","0.721813775095209","0.881510803800587","0.854139227733425","0.741192179550221","0.804627477207664","0.750463583775285","0.569618600019795","0.562876126623617","0.541533496135552","0.567283177927764","0.504513876891878","0.512474890005904","0.526328024378656","0.481193010359901","0.454598970579961","0.507187633786467","0.547919237191625","0.511972229093018","0.497148756486226","0.418481837823263","0.448252703737966","","","","",
"Armenia","ARM","Renewable electricity output (% of total electricity output)","EG.ELC.RNEW.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15.0067554526153","16.2463219840269","33.8071968014216","68.196981731533","62.1067515022976","34.508181981658","25.2977148374638","23.0552330403052","24.8263608463899","20.9900297358755","21.1648204095334","16.8494342906876","30.0416742163435","36.0298127613161","33.134328358209","28.0671204685769","30.7187342198283","31.4682943370634","31.1785095320624","35.6727208605184","39.4854413803728","33.5397039030956","28.9447486311598","28.2360570687419","25.7548387096774","28.3369662777279","","","","","",
"Armenia","ARM","Public and publicly guaranteed debt service (% of GNI)","DT.TDS.DPPG.GN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.162577919893511","0.338650075768874","0.633459615462307","2.40363982110301","1.15416922709801","2.84606072484626","2.10433036552895","1.12931680848604","1.85986910782141","1.96666462183328","2.46367544946176","1.62046030215845","0.488456260258408","0.391136834627422","0.275330605614","0.21125376323008","0.489754522998471","0.606953541954243","0.632231333525385","0.664487717725827","4.9016220637818","0.933370490525457","3.27650840327285","1.81487312200742","1.93082644219613","2.3663476339012","5.44002176196404","",
"Armenia","ARM","Net official development assistance and official aid received (constant 2018 US$)","DT.ODA.ALLD.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4329999.92370605","35430000.3051758","170020004.272461","283829986.572266","285779998.779297","391549987.792969","228419998.168945","272119995.117188","292839996.337891","309010009.765625","312950012.207031","420119995.117188","321149993.896484","305250000","200429992.675781","242190002.441406","369589996.337891","299000000","397500000","316250000","367559997.558594","265359985.351563","268820007.324219","253000000","377299987.792969","359299987.792969","271679992.675781","141619995.117188","427980010.986328","",
"Armenia","ARM","Net financial flows, RDB nonconcessional (NFL, current US$)","DT.NFL.RDBN.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2574000","23743000","10517000","28246000","-700000","-5780000","-3961000","-5198000","-4161000","-6083000","-7645000","-7844000","-7939000","-7939000","-6891000","","1275802.4","8746363.8","4209525.6","1771247.6","29412749.9","17144020.5","9399907.7","110642839.7","116779723.3","75844416.7","66740328.8","",
"Armenia","ARM","Net financial flows, IMF concessional (NFL, current US$)","DT.NFL.IMFC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","48997744.7","23221519.1","51286189.1","28612688.3","","10581944.9","14971258","11451975.6","1948846.4","-22618075.4","-21516391.9","-13583611.7","-19645629.7","-23422596.5","35511501.7","36202608.2","26347559.2","23694039.6","-11643419","-6343631.1","-17475815.8","-23019858.4","-34854165.2","-36863310.1","",
"Armenia","ARM","Short-term debt (% of total reserves)","DT.DOD.DSTC.IR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.14720096129342","2.95386606132214","1.9247670585887","0.832334180149883","9.19632672080506","15.4078107423878","16.2102422994846","14.1371588005167","12.7329569554325","51.0471243954716","80.4817651113622","74.8504538708111","44.4897261478699","28.627190714782","30.1753891167472","37.0188864923087","26.4105518994017","35.1449491306728","46.7634718982848","46.7958753059361","51.0690070479893","60.9772091845694","37.3826638995078","48.6190371392621","38.4020415032203","50.1798356307973","55.9582999948501","",
